Comment,Designator,Footprint,LCSC Part #
1.3M,R1,R0402,
1M,R5,R0402,
1k,R11,R0402,
1uF,C5 C6,C0402,
4.7k,R13,R0402,
5k1,R8 R9,R0402,
10k,R2 R3 R4 R6 R7 R12,R0402,
22uF,C2 C3 C4,C0402,
100k,R14,R0402,
100nF,C1 C7,C0402,
330,R10,R0402,
BAT60B,D1 D2 D3,SOD323-R,
HT7833,LDO,SOT23-5,
PMXB75UPE,Q1,SOT-1215,C547277
RED,CHARGING,CHIPLED_0402,
TP4054,CHARGER,SOT-23-5,
ESP32-C3-MINI-1-N4,IC1,ESP32C3MINI1N4,C2934569
TS-1088R-02026,FLASH RESET,TS1088R02026,
USB-C_2-16PIN,J3,USBC_USB-C-16P-5,C2837092
JST-SH_4P,J1,JST-SH_4P,C160404
