Designator,Mid X,Mid Y,Layer,Rotation
C1,10.16,-4.45,Top,90.0
C2,11.43,-4.45,Top,90.0
C3, 7.62,-4.45,Top,90.0
C4, 8.89,-4.45,Top,90.0
C5,23.24,-6.22,Top,270.0
C6,12.70,-1.91,Top,0.0
CHARGER, 8.89, 1.91,Top,180.0
CHARGING,12.07, 2.54,Top,90.0
D1,12.70, 0.00,Top,0.0
J1, 8.89, 6.63,Top,0.0
LDO, 8.89,-1.27,Top,180.0
Q1,16.51, 1.27,Top,180.0
R1,20.32, 0.64,Top,0.0
R2,20.32,-5.71,Top,0.0
R3,12.60, 5.08,Top,90.0
R4,14.61, 5.08,Top,90.0
R5,20.32,-0.64,Top,180.0
R6,20.32,-4.45,Top,180.0
R7,20.32,-3.18,Top,0.0
R9,16.51, 3.18,Top,0.0
R10,13.34, 2.54,Top,90.0
R11,19.30, 5.08,Top,90.0
R12,17.14, 5.08,Top,270.0
R13,15.88, 5.08,Top,270.0
R14,16.51,-0.64,Top,180.0
R15,20.45, 5.08,Top,90.0
RESET,20.27,-8.54,Top,0.0
